sku,product_name,description
PA-BR-1000,AutoPro Brake Pad Set for Ford F-150,"Heavy-duty brake pad set designed for Ford F-150 models, years 2018-2022. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a quiet operation design and all necessary hardware. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-RA-1001,DuraMax Radiator for Honda Civic,"Long-life radiator designed for Honda Civic models, years 2017-2021. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features enhanced durability materials and all necessary hardware. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OX-1002,DuraMax Oxygen Sensor for Toyota Camry,"High-performance oxygen sensor designed for Toyota Camry models, years 2016-2020. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features all necessary hardware and all necessary hardware. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-CO-1003,ProStop Control Arm for Ford F-150,"Heavy-duty control arm designed for Ford F-150 models, years 2012-2016. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features enhanced durability materials and enhanced durability materials. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-BR-1004,OEM-Fit Brake Pad Set for Nissan Rogue,"Premium brake pad set designed for Nissan Rogue models, years 2011-2015. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features corrosion-resistant coating and a quiet operation design. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OI-1005,EnduroGold Oil Filter for Toyota Camry,"Long-life oil filter designed for Toyota Camry models, years 2010-2014. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features enhanced durability materials and enhanced durability materials. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-CO-1006,OEM-Fit Control Arm for Ford F-150,"Heavy-duty control arm designed for Ford F-150 models, years 2013-2017. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features enhanced durability materials and enhanced durability materials. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-ST-1007,AutoPro Strut Assembly for Chevrolet Silverado,"Heavy-duty strut assembly designed for Chevrolet Silverado models, years 2015-2019. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features corrosion-resistant coating and a quiet operation design. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-WI-1008,EnduroGold Wiper Blade for Chevrolet Silverado,"Premium wiper blade designed for Chevrolet Silverado models, years 2018-2022. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features corrosion-resistant coating and enhanced durability materials. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-AL-1009,ProStop Alternator for Honda Civic,"High-performance alternator designed for Honda Civic models, years 2015-2020. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features corrosion-resistant coating and corrosion-resistant coating. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-CO-1010,ProStop Control Arm for Toyota Camry,"Long-life control arm designed for Toyota Camry models, years 2018-2023. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features all necessary hardware and a quiet operation design. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-RA-1011,ProStop Radiator for Chevrolet Silverado,"Reliable radiator designed for Chevrolet Silverado models, years 2014-2019. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features all necessary hardware and corrosion-resistant coating. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OX-1012,OEM-Fit Oxygen Sensor for Chevrolet Silverado,"Reliable oxygen sensor designed for Chevrolet Silverado models, years 2015-2019. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features all necessary hardware and a precision-fit guarantee. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-CO-1013,EnduroGold Control Arm for Nissan Rogue,"Heavy-duty control arm designed for Nissan Rogue models, years 2017-2021. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features enhanced durability materials and enhanced durability materials. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-AL-1014,AutoPro Alternator for Ford F-150,"High-performance alternator designed for Ford F-150 models, years 2015-2019. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features corrosion-resistant coating and enhanced durability materials. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-AL-1015,OEM-Fit Alternator for Nissan Rogue,"Long-life alternator designed for Nissan Rogue models, years 2017-2022. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features all necessary hardware and corrosion-resistant coating. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-WI-1016,ValueCore Wiper Blade for Nissan Rogue,"Reliable wiper blade designed for Nissan Rogue models, years 2017-2021. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features all necessary hardware and a quiet operation design. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OX-1017,OEM-Fit Oxygen Sensor for Nissan Rogue,"OEM-quality oxygen sensor designed for Nissan Rogue models, years 2011-2016. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a precision-fit guarantee and a quiet operation design. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-BR-1018,DuraMax Brake Pad Set for Ford F-150,"OEM-quality brake pad set designed for Ford F-150 models, years 2017-2022. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a quiet operation design and enhanced durability materials. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-RA-1019,ValueCore Radiator for Toyota Camry,"Reliable radiator designed for Toyota Camry models, years 2010-2015. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features corrosion-resistant coating and a precision-fit guarantee. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-RA-1020,DuraMax Radiator for Honda Civic,"Long-life radiator designed for Honda Civic models, years 2017-2021. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a precision-fit guarantee and corrosion-resistant coating. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OX-1021,DuraMax Oxygen Sensor for Nissan Rogue,"Heavy-duty oxygen sensor designed for Nissan Rogue models, years 2010-2014. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features corrosion-resistant coating and corrosion-resistant coating. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-AL-1022,ValueCore Alternator for Chevrolet Silverado,"Long-life alternator designed for Chevrolet Silverado models, years 2018-2022. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features enhanced durability materials and corrosion-resistant coating. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-RA-1023,ValueCore Radiator for Nissan Rogue,"Premium radiator designed for Nissan Rogue models, years 2014-2019. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a quiet operation design and a quiet operation design. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-CO-1024,AutoPro Control Arm for Honda Civic,"Long-life control arm designed for Honda Civic models, years 2014-2019. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a quiet operation design and corrosion-resistant coating. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-WI-1025,DuraMax Wiper Blade for Jeep Wrangler,"Reliable wiper blade designed for Jeep Wrangler models, years 2014-2018. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features corrosion-resistant coating and a quiet operation design. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-WI-1026,ValueCore Wiper Blade for Jeep Wrangler,"OEM-quality wiper blade designed for Jeep Wrangler models, years 2014-2019. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features enhanced durability materials and a precision-fit guarantee. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OI-1027,ProStop Oil Filter for Subaru Outback,"Reliable oil filter designed for Subaru Outback models, years 2010-2015. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features all necessary hardware and enhanced durability materials. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-RA-1028,ValueCore Radiator for Honda Civic,"Premium radiator designed for Honda Civic models, years 2018-2022. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features enhanced durability materials and corrosion-resistant coating. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-RA-1029,EnduroGold Radiator for Toyota Camry,"OEM-quality radiator designed for Toyota Camry models, years 2016-2021. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features corrosion-resistant coating and a quiet operation design. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OX-1030,EnduroGold Oxygen Sensor for Toyota Camry,"Premium oxygen sensor designed for Toyota Camry models, years 2010-2014. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features all necessary hardware and all necessary hardware. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OI-1031,ValueCore Oil Filter for Honda Civic,"Long-life oil filter designed for Honda Civic models, years 2017-2022. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a quiet operation design and corrosion-resistant coating. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OI-1032,ProStop Oil Filter for Nissan Rogue,"High-performance oil filter designed for Nissan Rogue models, years 2011-2015. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features corrosion-resistant coating and all necessary hardware. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-WI-1033,ProStop Wiper Blade for Chevrolet Silverado,"Long-life wiper blade designed for Chevrolet Silverado models, years 2018-2022. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a precision-fit guarantee and corrosion-resistant coating. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-AL-1034,EnduroGold Alternator for Chevrolet Silverado,"Heavy-duty alternator designed for Chevrolet Silverado models, years 2015-2020. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features enhanced durability materials and a quiet operation design. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-RA-1035,ProStop Radiator for Jeep Wrangler,"Premium radiator designed for Jeep Wrangler models, years 2013-2017. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features corrosion-resistant coating and corrosion-resistant coating. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-ST-1036,OEM-Fit Strut Assembly for Ford F-150,"Heavy-duty strut assembly designed for Ford F-150 models, years 2018-2022. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features all necessary hardware and all necessary hardware. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-WI-1037,DuraMax Wiper Blade for Nissan Rogue,"Premium wiper blade designed for Nissan Rogue models, years 2013-2018. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features all necessary hardware and corrosion-resistant coating. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-CO-1038,AutoPro Control Arm for Toyota Camry,"High-performance control arm designed for Toyota Camry models, years 2012-2017. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features enhanced durability materials and a precision-fit guarantee. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-ST-1039,ValueCore Strut Assembly for Chevrolet Silverado,"Heavy-duty strut assembly designed for Chevrolet Silverado models, years 2016-2020. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features corrosion-resistant coating and corrosion-resistant coating. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-BR-1040,EnduroGold Brake Pad Set for Chevrolet Silverado,"High-performance brake pad set designed for Chevrolet Silverado models, years 2011-2015. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a precision-fit guarantee and enhanced durability materials. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OI-1041,DuraMax Oil Filter for Toyota Camry,"Premium oil filter designed for Toyota Camry models, years 2014-2019. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a quiet operation design and a precision-fit guarantee. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-BR-1042,OEM-Fit Brake Pad Set for Honda Civic,"High-performance brake pad set designed for Honda Civic models, years 2016-2020. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a quiet operation design and all necessary hardware. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OX-1043,OEM-Fit Oxygen Sensor for Toyota Camry,"OEM-quality oxygen sensor designed for Toyota Camry models, years 2012-2016. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a precision-fit guarantee and a precision-fit guarantee. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-BR-1044,DuraMax Brake Pad Set for Nissan Rogue,"Premium brake pad set designed for Nissan Rogue models, years 2011-2016. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features all necessary hardware and corrosion-resistant coating. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-RA-1045,ProStop Radiator for Subaru Outback,"Premium radiator designed for Subaru Outback models, years 2018-2022. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features enhanced durability materials and all necessary hardware. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-AL-1046,EnduroGold Alternator for Ford F-150,"Long-life alternator designed for Ford F-150 models, years 2016-2021. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features enhanced durability materials and corrosion-resistant coating. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-WI-1047,AutoPro Wiper Blade for Toyota Camry,"OEM-quality wiper blade designed for Toyota Camry models, years 2017-2021. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features all necessary hardware and a precision-fit guarantee. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OX-1048,OEM-Fit Oxygen Sensor for Toyota Camry,"Premium oxygen sensor designed for Toyota Camry models, years 2016-2020. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features enhanced durability materials and a quiet operation design. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OX-1049,AutoPro Oxygen Sensor for Jeep Wrangler,"OEM-quality oxygen sensor designed for Jeep Wrangler models, years 2014-2018. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a precision-fit guarantee and enhanced durability materials. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OX-1050,ProStop Oxygen Sensor for Subaru Outback,"Reliable oxygen sensor designed for Subaru Outback models, years 2013-2017. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features corrosion-resistant coating and a precision-fit guarantee. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-ST-1051,OEM-Fit Strut Assembly for Chevrolet Silverado,"Premium strut assembly designed for Chevrolet Silverado models, years 2015-2020. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features enhanced durability materials and a precision-fit guarantee. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-ST-1052,EnduroGold Strut Assembly for Ford F-150,"Reliable strut assembly designed for Ford F-150 models, years 2012-2017. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a quiet operation design and all necessary hardware. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OX-1053,EnduroGold Oxygen Sensor for Nissan Rogue,"High-performance oxygen sensor designed for Nissan Rogue models, years 2010-2014. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a precision-fit guarantee and a quiet operation design. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-RA-1054,ValueCore Radiator for Chevrolet Silverado,"Long-life radiator designed for Chevrolet Silverado models, years 2011-2015. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a quiet operation design and a quiet operation design. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OX-1055,AutoPro Oxygen Sensor for Toyota Camry,"Reliable oxygen sensor designed for Toyota Camry models, years 2017-2021. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a quiet operation design and corrosion-resistant coating. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OI-1056,EnduroGold Oil Filter for Subaru Outback,"Long-life oil filter designed for Subaru Outback models, years 2013-2017. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features all necessary hardware and enhanced durability materials. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OI-1057,ValueCore Oil Filter for Toyota Camry,"Long-life oil filter designed for Toyota Camry models, years 2018-2022. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features corrosion-resistant coating and a precision-fit guarantee. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-RA-1058,AutoPro Radiator for Ford F-150,"Heavy-duty radiator designed for Ford F-150 models, years 2017-2021. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features all necessary hardware and all necessary hardware. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OI-1059,ProStop Oil Filter for Chevrolet Silverado,"High-performance oil filter designed for Chevrolet Silverado models, years 2016-2020. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features corrosion-resistant coating and a quiet operation design. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-ST-1060,DuraMax Strut Assembly for Jeep Wrangler,"Premium strut assembly designed for Jeep Wrangler models, years 2010-2015. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a precision-fit guarantee and all necessary hardware. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-BR-1061,ValueCore Brake Pad Set for Jeep Wrangler,"Reliable brake pad set designed for Jeep Wrangler models, years 2013-2017. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a quiet operation design and enhanced durability materials. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-ST-1062,OEM-Fit Strut Assembly for Subaru Outback,"OEM-quality strut assembly designed for Subaru Outback models, years 2014-2018. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a quiet operation design and a quiet operation design. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OI-1063,AutoPro Oil Filter for Subaru Outback,"OEM-quality oil filter designed for Subaru Outback models, years 2017-2021. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a precision-fit guarantee and corrosion-resistant coating. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OX-1064,OEM-Fit Oxygen Sensor for Honda Civic,"Heavy-duty oxygen sensor designed for Honda Civic models, years 2016-2021. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a quiet operation design and a precision-fit guarantee. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-RA-1065,ProStop Radiator for Subaru Outback,"Heavy-duty radiator designed for Subaru Outback models, years 2011-2016. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features all necessary hardware and enhanced durability materials. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-ST-1066,ProStop Strut Assembly for Jeep Wrangler,"Premium strut assembly designed for Jeep Wrangler models, years 2018-2023. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features all necessary hardware and a precision-fit guarantee. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-BR-1067,EnduroGold Brake Pad Set for Chevrolet Silverado,"Long-life brake pad set designed for Chevrolet Silverado models, years 2015-2020. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a quiet operation design and a quiet operation design. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OI-1068,ValueCore Oil Filter for Subaru Outback,"OEM-quality oil filter designed for Subaru Outback models, years 2011-2016. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features corrosion-resistant coating and enhanced durability materials. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-ST-1069,AutoPro Strut Assembly for Nissan Rogue,"High-performance strut assembly designed for Nissan Rogue models, years 2017-2022. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features corrosion-resistant coating and corrosion-resistant coating. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-WI-1070,OEM-Fit Wiper Blade for Toyota Camry,"Long-life wiper blade designed for Toyota Camry models, years 2013-2018. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a precision-fit guarantee and corrosion-resistant coating. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OX-1071,DuraMax Oxygen Sensor for Subaru Outback,"Reliable oxygen sensor designed for Subaru Outback models, years 2010-2015. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features enhanced durability materials and enhanced durability materials. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OI-1072,ValueCore Oil Filter for Subaru Outback,"Long-life oil filter designed for Subaru Outback models, years 2018-2023. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features corrosion-resistant coating and a precision-fit guarantee. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-BR-1073,ProStop Brake Pad Set for Toyota Camry,"Heavy-duty brake pad set designed for Toyota Camry models, years 2016-2021. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a quiet operation design and all necessary hardware. Ideal for DIY mechanics and professional installers looking for quality and value."
