sku,product_name,description
PA-OX-1074,ProStop Oxygen Sensor for Subaru Outback,"Premium oxygen sensor designed for Subaru Outback models, years 2017-2022. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a precision-fit guarantee and enhanced durability materials. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OI-1075,DuraMax Oil Filter for Chevrolet Silverado,"Heavy-duty oil filter designed for Chevrolet Silverado models, years 2012-2016. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features enhanced durability materials and all necessary hardware. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OI-1076,ProStop Oil Filter for Chevrolet Silverado,"Heavy-duty oil filter designed for Chevrolet Silverado models, years 2014-2018. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features all necessary hardware and all necessary hardware. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-BR-1077,EnduroGold Brake Pad Set for Subaru Outback,"Premium brake pad set designed for Subaru Outback models, years 2012-2016. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a precision-fit guarantee and enhanced durability materials. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OI-1078,OEM-Fit Oil Filter for Toyota Camry,"Reliable oil filter designed for Toyota Camry models, years 2013-2018. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a precision-fit guarantee and enhanced durability materials. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-BR-1079,EnduroGold Brake Pad Set for Ford F-150,"Heavy-duty brake pad set designed for Ford F-150 models, years 2010-2014. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a quiet operation design and all necessary hardware. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-BR-1080,OEM-Fit Brake Pad Set for Chevrolet Silverado,"Premium brake pad set designed for Chevrolet Silverado models, years 2011-2016. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features enhanced durability materials and a precision-fit guarantee. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OI-1081,DuraMax Oil Filter for Nissan Rogue,"High-performance oil filter designed for Nissan Rogue models, years 2013-2018. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a quiet operation design and enhanced durability materials. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-RA-1082,ValueCore Radiator for Ford F-150,"Reliable radiator designed for Ford F-150 models, years 2010-2014. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a quiet operation design and corrosion-resistant coating. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-WI-1083,DuraMax Wiper Blade for Ford F-150,"Heavy-duty wiper blade designed for Ford F-150 models, years 2012-2017. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a quiet operation design and enhanced durability materials. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-WI-1084,ValueCore Wiper Blade for Honda Civic,"OEM-quality wiper blade designed for Honda Civic models, years 2015-2020. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features enhanced durability materials and all necessary hardware. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OX-1085,AutoPro Oxygen Sensor for Honda Civic,"Heavy-duty oxygen sensor designed for Honda Civic models, years 2016-2021. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a quiet operation design and enhanced durability materials. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OX-1086,DuraMax Oxygen Sensor for Toyota Camry,"Premium oxygen sensor designed for Toyota Camry models, years 2015-2020. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features enhanced durability materials and enhanced durability materials. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OI-1087,ProStop Oil Filter for Ford F-150,"Premium oil filter designed for Ford F-150 models, years 2010-2015. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features corrosion-resistant coating and corrosion-resistant coating. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-CO-1088,OEM-Fit Control Arm for Jeep Wrangler,"High-performance control arm designed for Jeep Wrangler models, years 2010-2015. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a precision-fit guarantee and all necessary hardware. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OX-1089,EnduroGold Oxygen Sensor for Toyota Camry,"Long-life oxygen sensor designed for Toyota Camry models, years 2017-2021. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features corrosion-resistant coating and enhanced durability materials. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OI-1090,ValueCore Oil Filter for Toyota Camry,"Heavy-duty oil filter designed for Toyota Camry models, years 2013-2018. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features all necessary hardware and corrosion-resistant coating. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-RA-1091,DuraMax Radiator for Ford F-150,"High-performance radiator designed for Ford F-150 models, years 2016-2020. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features enhanced durability materials and all necessary hardware. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-RA-1092,EnduroGold Radiator for Ford F-150,"OEM-quality radiator designed for Ford F-150 models, years 2018-2022. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a quiet operation design and a precision-fit guarantee. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-ST-1093,DuraMax Strut Assembly for Chevrolet Silverado,"Heavy-duty strut assembly designed for Chevrolet Silverado models, years 2011-2016. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a quiet operation design and all necessary hardware. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-ST-1094,AutoPro Strut Assembly for Ford F-150,"High-performance strut assembly designed for Ford F-150 models, years 2017-2021. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a precision-fit guarantee and a precision-fit guarantee. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-CO-1095,EnduroGold Control Arm for Jeep Wrangler,"High-performance control arm designed for Jeep Wrangler models, years 2013-2018. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features all necessary hardware and a precision-fit guarantee. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-BR-1096,DuraMax Brake Pad Set for Toyota Camry,"Reliable brake pad set designed for Toyota Camry models, years 2013-2017. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features enhanced durability materials and a precision-fit guarantee. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-AL-1097,DuraMax Alternator for Chevrolet Silverado,"Premium alternator designed for Chevrolet Silverado models, years 2014-2019. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a quiet operation design and a quiet operation design. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-AL-1098,ProStop Alternator for Ford F-150,"High-performance alternator designed for Ford F-150 models, years 2014-2019. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features all necessary hardware and a precision-fit guarantee. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-CO-1099,ValueCore Control Arm for Nissan Rogue,"High-performance control arm designed for Nissan Rogue models, years 2016-2021. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features corrosion-resistant coating and corrosion-resistant coating. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-BR-1100,AutoPro Brake Pad Set for Honda Civic,"Long-life brake pad set designed for Honda Civic models, years 2010-2014. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a precision-fit guarantee and all necessary hardware. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-WI-1101,OEM-Fit Wiper Blade for Honda Civic,"Reliable wiper blade designed for Honda Civic models, years 2015-2020. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a quiet operation design and all necessary hardware. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OI-1102,AutoPro Oil Filter for Subaru Outback,"OEM-quality oil filter designed for Subaru Outback models, years 2010-2015. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a precision-fit guarantee and a precision-fit guarantee. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-ST-1103,OEM-Fit Strut Assembly for Ford F-150,"Reliable strut assembly designed for Ford F-150 models, years 2015-2019. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features corrosion-resistant coating and a precision-fit guarantee. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-CO-1104,ProStop Control Arm for Subaru Outback,"High-performance control arm designed for Subaru Outback models, years 2012-2017. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features enhanced durability materials and corrosion-resistant coating. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-AL-1105,OEM-Fit Alternator for Ford F-150,"Heavy-duty alternator designed for Ford F-150 models, years 2018-2022. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features enhanced durability materials and corrosion-resistant coating. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OI-1106,EnduroGold Oil Filter for Jeep Wrangler,"OEM-quality oil filter designed for Jeep Wrangler models, years 2013-2017. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features all necessary hardware and a precision-fit guarantee. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-WI-1107,DuraMax Wiper Blade for Subaru Outback,"Reliable wiper blade designed for Subaru Outback models, years 2012-2016. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features corrosion-resistant coating and a precision-fit guarantee. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-CO-1108,ProStop Control Arm for Ford F-150,"Premium control arm designed for Ford F-150 models, years 2012-2017. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features corrosion-resistant coating and corrosion-resistant coating. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OX-1109,EnduroGold Oxygen Sensor for Nissan Rogue,"Premium oxygen sensor designed for Nissan Rogue models, years 2014-2018. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features enhanced durability materials and all necessary hardware. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-AL-1110,ValueCore Alternator for Subaru Outback,"OEM-quality alternator designed for Subaru Outback models, years 2018-2023. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a precision-fit guarantee and enhanced durability materials. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OX-1111,DuraMax Oxygen Sensor for Subaru Outback,"OEM-quality oxygen sensor designed for Subaru Outback models, years 2011-2015. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features all necessary hardware and enhanced durability materials. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-CO-1112,DuraMax Control Arm for Subaru Outback,"Long-life control arm designed for Subaru Outback models, years 2017-2022. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features corrosion-resistant coating and corrosion-resistant coating. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-ST-1113,AutoPro Strut Assembly for Nissan Rogue,"Premium strut assembly designed for Nissan Rogue models, years 2016-2020. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a quiet operation design and a precision-fit guarantee. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-CO-1114,AutoPro Control Arm for Jeep Wrangler,"Premium control arm designed for Jeep Wrangler models, years 2015-2020. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features enhanced durability materials and corrosion-resistant coating. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-WI-1115,EnduroGold Wiper Blade for Honda Civic,"Reliable wiper blade designed for Honda Civic models, years 2018-2023. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features all necessary hardware and a precision-fit guarantee. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-AL-1116,OEM-Fit Alternator for Subaru Outback,"Heavy-duty alternator designed for Subaru Outback models, years 2012-2017. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features all necessary hardware and all necessary hardware. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-AL-1117,ValueCore Alternator for Chevrolet Silverado,"High-performance alternator designed for Chevrolet Silverado models, years 2015-2019. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features enhanced durability materials and all necessary hardware. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-BR-1118,OEM-Fit Brake Pad Set for Honda Civic,"Heavy-duty brake pad set designed for Honda Civic models, years 2010-2014. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features all necessary hardware and all necessary hardware. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-AL-1119,ProStop Alternator for Subaru Outback,"Long-life alternator designed for Subaru Outback models, years 2015-2020. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a quiet operation design and a quiet operation design. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-CO-1120,OEM-Fit Control Arm for Chevrolet Silverado,"Premium control arm designed for Chevrolet Silverado models, years 2018-2023. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a quiet operation design and all necessary hardware. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-WI-1121,ProStop Wiper Blade for Honda Civic,"Reliable wiper blade designed for Honda Civic models, years 2017-2022. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features corrosion-resistant coating and a precision-fit guarantee. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OI-1122,OEM-Fit Oil Filter for Honda Civic,"Reliable oil filter designed for Honda Civic models, years 2013-2017. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a precision-fit guarantee and corrosion-resistant coating. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-ST-1123,EnduroGold Strut Assembly for Toyota Camry,"Reliable strut assembly designed for Toyota Camry models, years 2015-2020. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features enhanced durability materials and enhanced durability materials. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-CO-1124,ValueCore Control Arm for Chevrolet Silverado,"OEM-quality control arm designed for Chevrolet Silverado models, years 2018-2023. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a precision-fit guarantee and corrosion-resistant coating. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-ST-1125,DuraMax Strut Assembly for Honda Civic,"Heavy-duty strut assembly designed for Honda Civic models, years 2013-2018. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features all necessary hardware and corrosion-resistant coating. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-RA-1126,AutoPro Radiator for Honda Civic,"High-performance radiator designed for Honda Civic models, years 2015-2020. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features enhanced durability materials and a precision-fit guarantee. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-ST-1127,OEM-Fit Strut Assembly for Chevrolet Silverado,"OEM-quality strut assembly designed for Chevrolet Silverado models, years 2012-2016. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features corrosion-resistant coating and enhanced durability materials. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-ST-1128,ProStop Strut Assembly for Jeep Wrangler,"Reliable strut assembly designed for Jeep Wrangler models, years 2011-2016. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a precision-fit guarantee and all necessary hardware. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-ST-1129,ValueCore Strut Assembly for Chevrolet Silverado,"Heavy-duty strut assembly designed for Chevrolet Silverado models, years 2015-2019. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features all necessary hardware and a precision-fit guarantee. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-RA-1130,OEM-Fit Radiator for Nissan Rogue,"High-performance radiator designed for Nissan Rogue models, years 2012-2017. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a quiet operation design and a quiet operation design. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OI-1131,EnduroGold Oil Filter for Subaru Outback,"Premium oil filter designed for Subaru Outback models, years 2015-2019. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features corrosion-resistant coating and a precision-fit guarantee. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-CO-1132,DuraMax Control Arm for Subaru Outback,"Reliable control arm designed for Subaru Outback models, years 2014-2019. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features enhanced durability materials and enhanced durability materials. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-WI-1133,EnduroGold Wiper Blade for Jeep Wrangler,"Heavy-duty wiper blade designed for Jeep Wrangler models, years 2016-2020. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features enhanced durability materials and all necessary hardware. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-ST-1134,EnduroGold Strut Assembly for Nissan Rogue,"OEM-quality strut assembly designed for Nissan Rogue models, years 2016-2021. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features corrosion-resistant coating and a quiet operation design. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OX-1135,EnduroGold Oxygen Sensor for Subaru Outback,"OEM-quality oxygen sensor designed for Subaru Outback models, years 2010-2014. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a quiet operation design and a precision-fit guarantee. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-BR-1136,ProStop Brake Pad Set for Ford F-150,"OEM-quality brake pad set designed for Ford F-150 models, years 2010-2015. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features corrosion-resistant coating and enhanced durability materials. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-ST-1137,DuraMax Strut Assembly for Honda Civic,"OEM-quality strut assembly designed for Honda Civic models, years 2015-2020. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features corrosion-resistant coating and a quiet operation design. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-CO-1138,ValueCore Control Arm for Jeep Wrangler,"Heavy-duty control arm designed for Jeep Wrangler models, years 2018-2023. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a quiet operation design and enhanced durability materials. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-ST-1139,OEM-Fit Strut Assembly for Ford F-150,"High-performance strut assembly designed for Ford F-150 models, years 2018-2023. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features enhanced durability materials and enhanced durability materials. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OI-1140,DuraMax Oil Filter for Honda Civic,"Reliable oil filter designed for Honda Civic models, years 2013-2017. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features enhanced durability materials and all necessary hardware. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OI-1141,DuraMax Oil Filter for Ford F-150,"Premium oil filter designed for Ford F-150 models, years 2015-2019. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features all necessary hardware and all necessary hardware. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OX-1142,ValueCore Oxygen Sensor for Ford F-150,"Premium oxygen sensor designed for Ford F-150 models, years 2017-2021. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features corrosion-resistant coating and a quiet operation design. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OI-1143,DuraMax Oil Filter for Ford F-150,"OEM-quality oil filter designed for Ford F-150 models, years 2014-2019. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features all necessary hardware and corrosion-resistant coating. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-WI-1144,ValueCore Wiper Blade for Ford F-150,"Reliable wiper blade designed for Ford F-150 models, years 2011-2016. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features corrosion-resistant coating and all necessary hardware. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-RA-1145,AutoPro Radiator for Nissan Rogue,"Reliable radiator designed for Nissan Rogue models, years 2017-2022. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features corrosion-resistant coating and a precision-fit guarantee. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-CO-1146,OEM-Fit Control Arm for Toyota Camry,"Long-life control arm designed for Toyota Camry models, years 2010-2014. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a precision-fit guarantee and a precision-fit guarantee. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OI-1147,DuraMax Oil Filter for Nissan Rogue,"High-performance oil filter designed for Nissan Rogue models, years 2014-2018. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features corrosion-resistant coating and enhanced durability materials. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OI-1148,DuraMax Oil Filter for Toyota Camry,"High-performance oil filter designed for Toyota Camry models, years 2015-2020. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a precision-fit guarantee and a quiet operation design. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-RA-1149,EnduroGold Radiator for Honda Civic,"OEM-quality radiator designed for Honda Civic models, years 2011-2015. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features all necessary hardware and enhanced durability materials. Ideal for DIY mechanics and professional installers looking for quality and value."
